lexeme,variants,gen,sg,pl
machinette,machinette,f,maʃinɛt,maʃinɛt
machinisme,machinisme,m,maʃinizm,maʃinizm
machiniste,machiniste,b,maʃinist,maʃinist
machino,machino,m,makino,makino
machisme,machisme,m,matʃizm,matʃizm
machmètre,machmètre,m,makmɛtʁ,makmɛtʁ
macho,macho,m,matʃo,matʃo
mâchoire,mâchoire,f,maʃwaʁ,maʃwaʁ
mâchonnement,mâchonnement,m,maʃɔnəmɑ̃,maʃɔnəmɑ̃
mâchouilleur,mâchouilleur,m,maʃujœʁ,maʃujœʁ
macintosh,macintosh:mackintosh,m,makintɔʃ,makintɔʃ
macis,macis,m,masi,masi
maçon,maçon,m,masɔ̃,masɔ̃
maçonne,maçonne,f,masɔn,masɔn
maçonnerie,maçonnerie,f,masɔnəʁi,masɔnəʁi
macramé,macramé,m,makʁame,makʁame
macre,macre,f,makʁ,makʁ
macreuse,macreuse,f,makʁøz,makʁøz
macro,macro,b,makʁo,makʁo
macrobiotique,macrobiotique,f,makʁObjOtik,makʁObjOtik
macroclimat,macroclimat,m,makʁoklima,makʁoklima
macrocosme,macrocosme,m,makʁOkosm,makʁOkosm
macroéconomie,macroéconomie,f,makʁOEkOnOmi,makʁOEkOnOmi
macrolide,macrolide,m,makʁOlid,makʁOlid
macrophage,macrophage,m,makʁOfaʒ,makʁOfaʒ
macula,macula,f,makyla,makyla
maculage,maculage,m,makylaʒ,makylaʒ
maculation,maculation,f,makylasjɔ̃,makylasjɔ̃
maculature,maculature,f,makylatyʁ,makylatyʁ
macule,macule,f,makyl,makyl
macumba,macumba,f,makymba,makymba
madame,madame:mme,f,madam,madam
madapolam,madapolam,m,madapOlam,madapOlam
madeleine,madeleine,f,madəlɛn,madəlɛn
mademoiselle,mademoiselle:mlle,f,madəmwazɛl,madəmwazɛl
madère,madère,m,madɛʁ,madɛʁ
madone,madone,f,madɔn,madɔn
madrague,madrague,f,madʁag,madʁag
madras,madras,m,madʁas,madʁas
madre de dios,madre de dios,b,madʁedədjos,madʁedədjos
madre,madre,m,madʁ,madʁ
madré,madré,m,madʁe,madʁe
madrépore,madrépore,m,madʁEpɔʁ,madʁEpɔʁ
madrier,madrier,m,madʁije,madʁije
madrigal,madrigal,m,madʁigal,madʁigo
madrilène,madrilène,b,madʁilɛn,madʁilɛn
maelstrom,maelstrom,m,malstʁɔm,malstʁɔm
maelström,maelström,m,mElstʁØm,mElstʁØm
maestria,maestria,f,maEstʁija,maEstʁija
maestro,maestro,m,maistʁo,maistʁo
maffia,maffia:mafia,f,mafja,mafja
maffieux,maffieux:mafieux,m,mafjø,mafjø
maffiosi,maffiosi,m,mafjOzi,mafjOzi
mafioso,mafioso,m,mafjOzo,mafjOzo
magasin,magasin,m,magazɛ̃,magazɛ̃
magasinage,magasinage,m,magazinaʒ,magazinaʒ
magasinier,magasinier,m,magazinje,magazinje
magasinière,magasinière,f,magazinjɛʁ,magazinjɛʁ
magazine,magazine,m,magazin,magazin
mage,mage,m,maʒ,maʒ
magenta,magenta,m,maʒɛ̃ta,maʒɛ̃ta
maghrébin,maghrébin,m,magʁEbɛ̃,magʁEbɛ̃
maghrébine,maghrébine,f,magʁEbin,magʁEbin
maghzen,maghzen,m,makzɛn,makzɛn
magicien,magicien,m,maʒisjɛ̃,maʒisjɛ̃
magicienne,magicienne,f,maʒisjɛn,maʒisjɛn
magie,magie,f,maʒi,maʒi
magister,magister:magistère,m,maʒistɛʁ,maʒistɛʁ
magistrat,magistrat,m,maʒistʁa,maʒistʁa
magistrate,magistrate,f,maʒistʁat,maʒistʁat
magistrature,magistrature,f,maʒistʁatyʁ,maʒistʁatyʁ
magma,magma,m,magma,magma
magnan,magnan,m,maɲɑ̃,maɲɑ̃
magnanerie,magnanerie,f,maɲanəʁi,maɲanəʁi
magnanimité,magnanimité,f,maɲanimite,maɲanimite
magnat,magnat,m,magna,magna
magnésie,magnésie,f,maɲEzi,maɲEzi
magnésium,magnésium,m,maɲEzjɔm,maɲEzjɔm
magnétiseur,magnétiseur,m,maɲEtizœʁ,maɲEtizœʁ
magnétiseuse,magnétiseuse,f,maɲEtizøz,maɲEtizøz
magnétisme,magnétisme,m,maɲEtizm,maɲEtizm
magnétite,magnétite,f,maɲEtit,maɲEtit
magnéto,magnéto,b,maɲEto,maɲEto
magnétomètre,magnétomètre,m,maɲEtOmɛtʁ,maɲEtOmɛtʁ
magnétophone,magnétophone,m,maɲEtOfɔn,maɲEtOfɔn
magnétoscope,magnétoscope,m,maɲEtOskɔp,maɲEtOskɔp
magnétron,magnétron,m,maɲEtʁɔ̃,maɲEtʁɔ̃
magnificat,magnificat,m,maɲifikat,maɲifikat
magnificence,magnificence,f,maɲifisɑ̃s,maɲifisɑ̃s
magnitude,magnitude,f,maɲityd,maɲityd
magnolia,magnolia,m,maɲOlja,maɲOlja
magnum,magnum,m,magnɔm,magnɔm
magot,magot,m,mago,mago
magouille,magouille,f,maguj,maguj
magouilleur,magouilleur,m,magujœʁ,magujœʁ
magret,magret,m,magʁɛ,magʁɛ
magyar,magyar,m,magjaʁ,magjaʁ
maharadja,maharadja:maharadjah:maharaja:maharajah,m,maaʁadʒa,maaʁadʒa
maharani,maharani,f,maaʁani,maaʁani
mahatma,mahatma,m,maatma,maatma
mahométan,mahométan,m,maOmEtɑ̃,maOmEtɑ̃
mahonia,mahonia,m,maOnja,maOnja
mai,mai,b,mɛ,mɛ
maïa,maïa:maya,m,maja,maja
maid,maid,f,mɛd,mɛd
maie,maie,f,mɛ,mɛ
maigre,maigre,b,mɛgʁ,mɛgʁ
maigrelet,maigrelet,m,mɛgʁəlɛ,mɛgʁəlɛ
maigrelette,maigrelette,f,mEgʁəlɛt,mEgʁəlɛt
maigreur,maigreur,f,mEgʁœʁ,mEgʁœʁ
maigrichon,maigrichon,m,mEgʁiʃɔ̃,mEgʁiʃɔ̃
maigrichonne,maigrichonne,f,mEgʁiʃɔn,mEgʁiʃɔn
maigriot,maigriot,m,mEgʁijo,mEgʁijo
mail-coach,mail-coach,m,mɛlkotʃ,mɛlkotʃ
mail,mail,m,maj,maj
mail2,mail,m,mɛjl,mɛjl
mailing,mailing,m,mEjliŋ,mEjliŋ
maille,maille,f,maj,maj
maillechort,maillechort,m,majəʃɔʁ,majəʃɔʁ
maillet,maillet,m,majɛ,majɛ
mailloche,mailloche,f,majɔʃ,majɔʃ
maillon,maillon,m,majɔ̃,majɔ̃
maillot,maillot,m,majo,majo
maillotin,maillotin,m,majOtɛ̃,majOtɛ̃
main-courante,main-courante,f,mɛ̃kuʁɑ̃t,mɛ̃kuʁɑ̃t
main-d'oeuvre,main-d'oeuvre,f,mɛ̃dœvʁ,mɛ̃dœvʁ
main-forte,main-forte,f,mɛ̃fɔʁt,mɛ̃fɔʁt
main,main,f,mɛ̃,mɛ̃
mainate,mainate,m,mEnat,mEnat
maincourantier,maincourantier,m,mɛ̃kuʁɑ̃tje,mɛ̃kuʁɑ̃tje
mainlevée,mainlevée,f,mɛ̃ləve,mɛ̃ləve
mainmise,mainmise,f,mɛ̃miz,mɛ̃miz
maintenance,maintenance,f,mɛ̃tənɑ̃s,mɛ̃tənɑ̃s
mainteneur,mainteneur,m,mɛ̃tənœʁ,mɛ̃tənœʁ
maintenue,maintenue,f,mɛ̃təny,mɛ̃təny
maintien,maintien,m,mɛ̃tjɛ̃,mɛ̃tjɛ̃
maire,maire,m,mɛʁ,mɛʁ
mairesse,mairesse,f,mEʁɛs,mEʁɛs
mairie,mairie,f,mEʁi,mEʁi
maïs,maïs,m,mais,mais
maison-mère,maison-mère,f,mEzɔ̃mɛʁ,mEzɔ̃mɛʁ
maison,maison,f,mEzɔ̃,mEzɔ̃
maisonnée,maisonnée,f,mEzOne,mEzOne
maisonnette,maisonnette,f,mEzOnɛt,mEzOnɛt
maître queux,maître queux,m,mɛtʁəkø,mɛtʁəkø
maître-à-danser,maître-à-danser,m,mɛtʁadɑ̃se,mɛtʁadɑ̃se
maître-assistant,maître-assistant,m,mɛtʁasistɑ̃,mɛtʁasistɑ̃
maître-autel,maître-autel,m,mɛtʁOtɛl,mɛtʁOtɛl
maître-chanteur,maître-chanteur,m,mɛtʁəʃɑ̃tœʁ,mɛtʁəʃɑ̃tœʁ
maître-chien,maître-chien,m,mɛtʁəʃjɛ̃,mɛtʁəʃjɛ̃
maître-coq,maître-coq,m,mɛtʁəkɔk,mɛtʁəkɔk
maître-nageur,maître-nageur,m,mɛtʁənaʒœʁ,mɛtʁənaʒœʁ
maître,maître:mètre,m,mɛtʁ,mɛtʁ
maîtresse,maîtresse,f,mEtʁɛs,mEtʁɛs
maîtrise,maîtrise,f,mEtʁiz,mEtʁiz
maïzena,maïzena,f,maizEna,maizEna
maja,maja,f,maʒa,maʒa
majesté,majesté,f,maʒEste,maʒEste
majeur,majeur,m,maʒœʁ,maʒœʁ
majeure,majeure,f,maʒœʁ,maʒœʁ
majolique,majolique,f,maʒOlik,maʒOlik
major-général,major-général,m,maʒɔʁʒEnEʁal,maʒɔʁʒEnEʁo
major,major,b,maʒɔʁ,maʒɔʁ
majoral,majoral,m,maʒOʁal,maʒOʁo
majorat,majorat,m,maʒOʁa,maʒOʁa
majoration,majoration,f,maʒOʁasjɔ̃,maʒOʁasjɔ̃
majordome,majordome,m,maʒɔʁdɔm,maʒɔʁdɔm
majorette,majorette,f,maʒOʁɛt,maʒOʁɛt
majorité,majorité,f,maʒOʁite,maʒOʁite
majuscule,majuscule,f,maʒyskyl,maʒyskyl
maki,maki:maquis,m,maki,maki
mal-aimé,mal-aimé,m,malEme,malEme
mal-aimée,mal-aimée,f,malEme,malEme
mal-baisé,mal-baisé,m,malbEze,malbEze
mal-baisée,mal-baisée,f,malbEze,malbEze
mal-être,mal-être,m,malɛtʁ,malɛtʁ
mal-pensant,mal-pensant,m,malpɑ̃sɑ̃,malpɑ̃sɑ̃
mal,mal,m,mal,mo
malabar,malabar,m,malabaʁ,malabaʁ
malachite,malachite,f,malakit,malakit
malade,malade,b,malad,malad
maladie,maladie,f,maladi,maladi
maladrerie,maladrerie,f,maladʁəʁi,maladʁəʁi
maladresse,maladresse,f,maladʁɛs,maladʁɛs
maladroit,maladroit,m,maladʁwa,maladʁwa
maladroite,maladroite,f,maladʁwat,maladʁwat
malaga,malaga,m,malaga,malaga
malais,malais,m,malɛ,malɛ
malaise,malaise,b,malɛz,malɛz
malaisien,malaisien,m,malEzjɛ̃,malEzjɛ̃
malandrin,malandrin,m,malɑ̃dʁɛ̃,malɑ̃dʁɛ̃
malappris,malappris,m,malapʁi,malapʁi
malapprise,malapprise,f,malapʁiz,malapʁiz
malard,malard,m,malaʁ,malaʁ
malaria,malaria,f,malaʁja,malaʁja
malaventure,malaventure,f,malavɑ̃tyʁ,malavɑ̃tyʁ
malaxeur,malaxeur,m,malaksœʁ,malaksœʁ
malchance,malchance,f,malʃɑ̃s,malʃɑ̃s
malchanceuse,malchanceuse,f,malʃɑ̃søz,malʃɑ̃søz
malchanceux,malchanceux,m,malʃɑ̃sø,malʃɑ̃sø
maldonne,maldonne,f,maldɔn,maldɔn
mâle,mâle,m,mal,mal
malédiction,malédiction,f,malEdiksjɔ̃,malEdiksjɔ̃
maléfice,maléfice,m,malEfis,malEfis
malencontre,malencontre,f,malɑ̃kɔ̃tʁ,malɑ̃kɔ̃tʁ
malentendant,malentendant,m,malɑ̃tɑ̃dɑ̃,malɑ̃tɑ̃dɑ̃
malentendu,malentendu,m,malɑ̃tɑ̃dy,malɑ̃tɑ̃dy
malfaçon,malfaçon,f,malfasɔ̃,malfasɔ̃
malfaisance,malfaisance,f,malfəzɑ̃s,malfəzɑ̃s
malfaiteur,malfaiteur,m,malfEtœʁ,malfEtœʁ
malformation,malformation,f,malfɔʁmasjɔ̃,malfɔʁmasjɔ̃
malfrat,malfrat,m,malfʁa,malfʁa
malgache,malgache,b,malgaʃ,malgaʃ
malherbe,malherbe,f,malɛʁb,malɛʁb
malheur,malheur,m,malœʁ,malœʁ
malheureuse,malheureuse,f,malØʁøz,malØʁøz
malheureux,malheureux,m,malØʁø,malØʁø
malhonnête,malhonnête,b,malOnɛt,malOnɛt
malhonnêteté,malhonnêteté,f,malOnɛtəte,malOnɛtəte
mali,mali,m,mali,mali
malice,malice,f,malis,malis
malien,malien,m,maljɛ̃,maljɛ̃
malienne,malienne,f,maljɛn,maljɛn
malignité,malignité,f,maliɲite,maliɲite
malin,malin,m,malɛ̃,malɛ̃
maline,maline,f,malin,malin
malinké,malinké,m,malɛ̃ke,malɛ̃ke
malinois,malinois,m,malinwa,malinwa
malle,malle,f,mal,mal
malléabilité,malléabilité,f,malEabilite,malEabilite
malléole,malléole,f,malEɔl,malEɔl
mallette,mallette,f,malɛt,malɛt
mallophage,mallophage,m,malOfaʒ,malOfaʒ
malm,malm,m,malm,malm
malmenage,malmenage,m,malmənaʒ,malmənaʒ
malnutrition,malnutrition,f,malnytʁisjɔ̃,malnytʁisjɔ̃
malotru,malotru,m,malOtʁy,malOtʁy
malouin,malouin,m,malwɛ̃,malwɛ̃
malpoli,malpoli,m,malpOli,malpOli
malpropre,malpropre,b,malpʁɔpʁ,malpʁɔpʁ
malpropreté,malpropreté,f,malpʁɔpʁəte,malpʁɔpʁəte
malséance,malséance,f,malsEɑ̃s,malsEɑ̃s
malt,malt,m,malt,malt
maltais,maltais,m,maltɛ,maltɛ
maltraitance,maltraitance,f,maltʁEtɑ̃s,maltʁEtɑ̃s
malus,malus,m,malys,malys
malveillance,malveillance,f,malvEjɑ̃s,malvEjɑ̃s
malveillant,malveillant,m,malvEjɑ̃,malvEjɑ̃
malversation,malversation,f,malvɛʁsasjɔ̃,malvɛʁsasjɔ̃
malvoisie,malvoisie,m,malvwazi,malvwazi
mam,mam:mame,f,mam,mam
mam'selle,mam'selle:mam'zelle:mamzelle,f,mamzɛl,mamzɛl
mamaliga,mamaliga,f,mamaliga,mamaliga
mamamouchi,mamamouchi,m,mamamuʃi,mamamuʃi
maman,maman,f,mamɑ̃,mamɑ̃
mamba,mamba,m,mɑ̃mba,mɑ̃mba
mambo,mambo,m,mɑ̃mbo,mɑ̃mbo
mamelle,mamelle,f,mamɛl,mamɛl
mamelon,mamelon,m,maməlɔ̃,maməlɔ̃
mamelouk,mamelouk,m,maməluk,maməluk
mameluk,mameluk,m,maməlyk,maməlyk
mamie,mamie:mammy:mamy,f,mami,mami
mamma,mamma,f,mamma,mamma
mammectomie,mammectomie,f,mamEktOmi,mamEktOmi
mammifère,mammifère,m,mamifɛʁ,mamifɛʁ
mammographie,mammographie,f,mamOgʁafi,mamOgʁafi
mammoplastie,mammoplastie,f,mamOplasti,mamOplasti
mammouth,mammouth,m,mamut,mamut
mamours,mamours,m,#DEF#,mamuʁ
man,man:mens,b,mɑ̃,mɑ̃
mana,mana,m,mana,mana
manade,manade,f,manad,manad
management,management,m,manaʒəmɑ̃,manaʒəmɑ̃
manager,manager:manageur,m,manadʒœʁ,manadʒœʁ
manant,manant,m,manɑ̃,manɑ̃
mancenillier,mancenillier,m,mɑ̃sənije,mɑ̃sənije
manche,manche,b,mɑ̃ʃ,mɑ̃ʃ
mancheron,mancheron,m,mɑ̃ʃəʁɔ̃,mɑ̃ʃəʁɔ̃
manchette,manchette,f,mɑ̃ʃɛt,mɑ̃ʃɛt
manchon,manchon,m,mɑ̃ʃɔ̃,mɑ̃ʃɔ̃
manchot,manchot,m,mɑ̃ʃo,mɑ̃ʃo
manchote,manchote,f,mɑ̃ʃɔt,mɑ̃ʃɔt
mandala,mandala,m,mɑ̃dala,mɑ̃dala
mandale,mandale,f,mɑ̃dal,mɑ̃dal
mandant,mandant,m,mɑ̃dɑ̃,mɑ̃dɑ̃
mandarin,mandarin,m,mɑ̃daʁɛ̃,mɑ̃daʁɛ̃
mandarine,mandarine,f,mɑ̃daʁin,mɑ̃daʁin
mandarinier,mandarinier,m,mɑ̃daʁinje,mɑ̃daʁinje
mandat-carte,mandat-carte,m,mɑ̃dakaʁt,mɑ̃dakaʁt
mandat-lettre,mandat-lettre,m,mɑ̃dalɛtʁ,mɑ̃dalɛtʁ
mandat-poste,mandat-poste,m,mɑ̃dapɔst,mɑ̃dapɔst
mandat,mandat,m,mɑ̃da,mɑ̃da
mandataire,mandataire,b,mɑ̃datɛʁ,mɑ̃datɛʁ
mandatement,mandatement,m,mɑ̃datəmɑ̃,mɑ̃datəmɑ̃
mandchou,mandchou,m,mɑ̃dʃu,mɑ̃dʃu
mandé,mandé,m,mɑ̃de,mɑ̃de
mandement,mandement,m,mɑ̃dəmɑ̃,mɑ̃dəmɑ̃
mandibule,mandibule,f,mɑ̃dibyl,mɑ̃dibyl
mandingue,mandingue,b,mɑ̃dɛ̃g,mɑ̃dɛ̃g
mandoline,mandoline,f,mɑ̃dOlin,mɑ̃dOlin
mandore,mandore,f,mɑ̃dɔʁ,mɑ̃dɔʁ
mandorle,mandorle,f,mɑ̃dɔʁl,mɑ̃dɔʁl
mandragore,mandragore,f,mɑ̃dʁagɔʁ,mɑ̃dʁagɔʁ
mandrill,mandrill,m,mɑ̃dʁil,mɑ̃dʁil
mandrin,mandrin,m,mɑ̃dʁɛ̃,mɑ̃dʁɛ̃
manducation,manducation,f,mɑ̃dykasjɔ̃,mɑ̃dykasjɔ̃
manécanterie,manécanterie,f,manEkɑ̃təʁi,manEkɑ̃təʁi
manège,manège,m,manɛʒ,manɛʒ
mânes,mânes,m,#DEF#,man
manette,manette,f,manɛt,manɛt
manga,manga,m,mɑ̃ga,mɑ̃ga
manganèse,manganèse,m,mɑ̃ganɛz,mɑ̃ganɛz
manganite,manganite,m,mɑ̃ganit,mɑ̃ganit
mange-disque,mange-disque,m,mɑ̃ʒdisk,mɑ̃ʒdisk
mange-tout,mange-tout,m,mɑ̃ʒtu,mɑ̃ʒtu
mangeaille,mangeaille,f,mɑ̃ʒaj,mɑ̃ʒaj
mangeoire,mangeoire,f,mɑ̃ʒwaʁ,mɑ̃ʒwaʁ
manger,manger,m,mɑ̃ʒe,mɑ̃ʒe
mangerie,mangerie,f,mɑ̃ʒəʁi,mɑ̃ʒəʁi
mangetout,mangetout,m,mɑ̃ʒətu,mɑ̃ʒətu
mangeur,mangeur,m,mɑ̃ʒœʁ,mɑ̃ʒœʁ
mangeuse,mangeuse,f,mɑ̃ʒøz,mɑ̃ʒøz
mango,mango,b,mɑ̃go,mɑ̃go
mangonneau,mangonneau,m,mɑ̃gOno,mɑ̃gOno
mangouste,mangouste,f,mɑ̃gust,mɑ̃gust
mangrove,mangrove,f,mɑ̃gʁɔv,mɑ̃gʁɔv
mangue,mangue,f,mɑ̃g,mɑ̃g
manguier,manguier,m,mɑ̃gje,mɑ̃gje
manhattan,manhattan,b,manatan,manatan
maniabilité,maniabilité,f,manjabilite,manjabilite
maniacodépressif,maniacodépressif,m,manjakOdEpʁEsif,manjakOdEpʁEsif
maniaque,maniaque,b,manjak,manjak
maniaquerie,maniaquerie,f,manjakəʁi,manjakəʁi
manichéisme,manichéisme,m,manikEizm,manikEizm
manichéiste,manichéiste,b,manikEist,manikEist
manie,manie,f,mani,mani
maniement,maniement,m,manimɑ̃,manimɑ̃
manière,manière,f,manjɛʁ,manjɛʁ
maniérisme,maniérisme,m,manjEʁizm,manjEʁizm
maniériste,maniériste,b,manjEʁist,manjEʁist
manieur,manieur,m,manjœʁ,manjœʁ
manieuse,manieuse,f,manjøz,manjøz
manif,manif,f,manif,manif
manifestant,manifestant,m,manifEstɑ̃,manifEstɑ̃
manifestante,manifestante,f,manifEstɑ̃t,manifEstɑ̃t
manifestation,manifestation,f,manifEstasjɔ̃,manifEstasjɔ̃
manifeste,manifeste,m,manifɛst,manifɛst
manifold,manifold,m,manifɔld,manifɔld
manigance,manigance,f,manigɑ̃s,manigɑ̃s
manille,manille,f,manij,manij
manilleur,manilleur,m,manijœʁ,manijœʁ
manillon,manillon,m,manijɔ̃,manijɔ̃
manioc,manioc,m,manjɔk,manjɔk
manipe,manipe,f,manip,manip
manipulateur,manipulateur,m,manipylatœʁ,manipylatœʁ
manipulation,manipulation,f,manipylasjɔ̃,manipylasjɔ̃
manipulatrice,manipulatrice,f,manipylatʁis,manipylatʁis
manipule,manipule,m,manipyl,manipyl
manitoba,manitoba,m,manitOba,manitOba
manitou,manitou,m,manitu,manitu
manivelle,manivelle,f,manivɛl,manivɛl
manne,manne,f,man,man
mannequin,mannequin,b,manəkɛ̃,manəkɛ̃
mannezingue,mannezingue,m,manəzɛ̃g,manəzɛ̃g
mannitol,mannitol,m,manitɔl,manitɔl
manoeuvrabilité,manoeuvrabilité,f,manØvʁabilite,manØvʁabilite
manoeuvre,manoeuvre,b,manœvʁ,manœvʁ
manoeuvrier,manoeuvrier,m,manØvʁije,manØvʁije
manoeuvrière,manoeuvrière,f,manØvʁijɛʁ,manØvʁijɛʁ
manoir,manoir,m,manwaʁ,manwaʁ
manomètre,manomètre,m,manOmɛtʁ,manOmɛtʁ
manouche,manouche,b,manuʃ,manuʃ
manouvrier,manouvrier,m,manuvʁije,manuvʁije
manquant,manquant,m,mɑ̃kɑ̃,mɑ̃kɑ̃
manque,manque,m,mɑ̃k,mɑ̃k
manquement,manquement,m,mɑ̃kəmɑ̃,mɑ̃kəmɑ̃
mansard,mansard,m,mɑ̃saʁ,mɑ̃saʁ
mansarde,mansarde,f,mɑ̃saʁd,mɑ̃saʁd
mansion,mansion:mention,f,mɑ̃sjɔ̃,mɑ̃sjɔ̃
mansuétude,mansuétude,f,mɑ̃sɥEtyd,mɑ̃sɥEtyd
manta,manta,f,mɑ̃ta,mɑ̃ta
mante,mante:menthe,f,mɑ̃t,mɑ̃t
manteau,manteau,m,mɑ̃to,mɑ̃to
mantelet,mantelet,m,mɑ̃təlɛ,mɑ̃təlɛ
mantelure,mantelure,f,mɑ̃təlyʁ,mɑ̃təlyʁ
mantille,mantille,f,mɑ̃tij,mɑ̃tij
mantique,mantique,f,mɑ̃tik,mɑ̃tik
mantra,mantra,m,mɑ̃tʁa,mɑ̃tʁa
manubrium,manubrium,m,manybʁijɔm,manybʁijɔm
manucure,manucure,b,manykyʁ,manykyʁ
manuel,manuel,m,manɥɛl,manɥɛl
manuelle,manuelle,f,manɥɛl,manɥɛl
manufacture,manufacture,f,manyfaktyʁ,manyfaktyʁ
manufacturier,manufacturier,m,manyfaktyʁje,manyfaktyʁje
manuscrit,manuscrit,m,manyskʁi,manyskʁi
manutention,manutention,f,manytɑ̃sjɔ̃,manytɑ̃sjɔ̃
manutentionnaire,manutentionnaire,b,manytɑ̃sjOnɛʁ,manytɑ̃sjOnɛʁ
manzanilla,manzanilla,m,mɑ̃zanija,mɑ̃zanija
mao,mao,b,mao,mao
maoïsme,maoïsme,m,maOizm,maOizm
maori,maori,m,maOʁi,maOʁi
maorie,maorie,f,maOʁi,maOʁi
mappemonde,mappemonde,f,mapəmɔ̃d,mapəmɔ̃d
maque,maque,f,mak,mak
maquereau,maquereau,m,makəʁo,makəʁo
maquereautage,maquereautage,m,makəʁOtaʒ,makəʁOtaʒ
maquereautin,maquereautin,m,makəʁOtɛ̃,makəʁOtɛ̃
maquerellage,maquerellage,m,makəʁElaʒ,makəʁElaʒ
maquerelle,maquerelle,f,makəʁɛl,makəʁɛl
maquette,maquette,f,makɛt,makɛt
maquettiste,maquettiste,b,makEtist,makEtist
maquignon,maquignon,m,makiɲɔ̃,makiɲɔ̃
maquignonnage,maquignonnage,m,makiɲOnaʒ,makiɲOnaʒ
maquillage,maquillage,m,makijaʒ,makijaʒ
maquilleur,maquilleur,m,makijœʁ,makijœʁ
maquilleuse,maquilleuse,f,makijøz,makijøz
maquisard,maquisard,m,makizaʁ,makizaʁ
maquisarde,maquisarde,f,makizaʁd,makizaʁd
mara,mara,m,maʁa,maʁa
marabout,marabout,m,maʁabu,maʁabu
maraca,maraca,f,maʁakas,maʁakas
marae,marae,m,maʁe,maʁe
maraîcher,maraîcher,m,maʁEʃe,maʁEʃe
maraîchère,maraîchère,f,maʁEʃɛʁ,maʁEʃɛʁ
marais,marais,m,maʁɛ,maʁɛ
maranta,maranta,m,maʁɑ̃ta,maʁɑ̃ta
marante,marante:marrante,f,maʁɑ̃t,maʁɑ̃t
marasme,marasme,m,maʁasm,maʁasm
marasquin,marasquin,m,maʁaskɛ̃,maʁaskɛ̃
marathon,marathon,m,maʁatɔ̃,maʁatɔ̃
marathonien,marathonien,m,maʁatOnjɛ̃,maʁatOnjɛ̃
marathonienne,marathonienne,f,maʁatOnjɛn,maʁatOnjɛn
marâtre,marâtre,f,maʁatʁ,maʁatʁ
maraud,maraud,m,maʁo,maʁo
maraude,maraude,f,maʁod,maʁod
maraudeur,maraudeur,m,maʁOdœʁ,maʁOdœʁ
maraudeuse,maraudeuse,f,maʁOdøz,maʁOdøz
maravédis,maravédis,m,maʁavEdis,maʁavEdis
marbre,marbre,m,maʁbʁ,maʁbʁ
marbrerie,marbrerie,f,maʁbʁəʁi,maʁbʁəʁi
marbrure,marbrure,f,maʁbʁyʁ,maʁbʁyʁ
marc,marc,m,maʁ,maʁ
marcassin,marcassin,m,maʁkasɛ̃,maʁkasɛ̃
marcel,marcel,m,maʁsɛl,maʁsɛl
marceline,marceline,f,maʁsəlin,maʁsəlin
marchand,marchand,m,maʁʃɑ̃,maʁʃɑ̃
marchandage,marchandage,m,maʁʃɑ̃daʒ,maʁʃɑ̃daʒ
marchande,marchande,f,maʁʃɑ̃d,maʁʃɑ̃d
marchandeuse,marchandeuse,f,maʁʃɑ̃døz,maʁʃɑ̃døz
marchandise,marchandise,f,maʁʃɑ̃diz,maʁʃɑ̃diz
marchandiseur,marchandiseur,m,maʁʃɑ̃dizœʁ,maʁʃɑ̃dizœʁ
marche,marche,f,maʁʃ,maʁʃ
marché,marché,m,maʁʃe,maʁʃe
marchepied,marchepied,m,maʁʃəpje,maʁʃəpje
marcheur,marcheur,m,maʁʃœʁ,maʁʃœʁ
marcheuse,marcheuse,f,maʁʃøz,maʁʃøz
marcotin,marcotin,m,maʁkOtɛ̃,maʁkOtɛ̃
marcotte,marcotte,f,maʁkɔt,maʁkɔt
mardi,mardi,m,maʁdi,maʁdi
mare,mare,f,maʁ,maʁ
marécage,marécage,m,maʁEkaʒ,maʁEkaʒ
maréchal-ferrant,maréchal-ferrant,m,maʁEʃalfEʁɑ̃,maʁEʃofEʁɑ̃
maréchal,maréchal,m,maʁEʃal,maʁEʃo
maréchalat,maréchalat,m,maʁEʃala,maʁEʃala
maréchale,maréchale,f,maʁEʃal,maʁEʃal
maréchalerie,maréchalerie,f,maʁEʃaləʁi,maʁEʃaləʁi
maréchaliste,maréchaliste,b,maʁEʃalist,maʁEʃalist
maréchaussée,maréchaussée,f,maʁEʃOse,maʁEʃOse
marée,marée,f,maʁe,maʁe
marelle,marelle,f,maʁɛl,maʁɛl
marengo,marengo,m,maʁɛ̃go,maʁɛ̃go
marennes,marennes:marraine,f,maʁɛn,maʁɛn
mareyeur,mareyeur,m,maʁEjœʁ,maʁEjœʁ
mareyeuse,mareyeuse,f,maʁEjøz,maʁEjøz
margarine,margarine,f,maʁgaʁin,maʁgaʁin
margaux,margaux:margot,m,maʁgo,maʁgo
margay,margay,m,maʁgɛ,maʁgɛ
marge,marge,f,maʁʒ,maʁʒ
margelle,margelle,f,maʁʒɛl,maʁʒɛl
margeuse,margeuse,f,maʁʒøz,maʁʒøz
marginal,marginal,m,maʁʒinal,maʁʒino
marginale,marginale,f,maʁʒinal,maʁʒinal
marginalité,marginalité,f,maʁʒinalite,maʁʒinalite
margis,margis,m,maʁʒi,maʁʒi
margotin,margotin,m,maʁgOtɛ̃,maʁgOtɛ̃
margoton,margoton,f,maʁgOtɔ̃,maʁgOtɔ̃
margouillat,margouillat,m,maʁguja,maʁguja
